id	category	venue	year	title	authors	identifier	relpath	notes	extra_urls
20	direct	CRYPTO	2025	Stationary Syndrome Decoding for Improved PCGs	Vladimir Kolesnikov; Stanislav Peceny; Srinivasan Raghuraman; Peter Rindal	ePrint 2025/295	01_direct_pcg_pcf/20_CRYPTO_2025_Stationary_Syndrome_Decoding_for_Improved_PCGs.pdf	Stationary syndrome decoding PCGs.	
21	direct	CRYPTO	2025	Efficient Pseudorandom Correlation Generators over Z/p^kZ	Zhe Li; Chaoping Xing; Yizhou Yao; Chen Yuan	ePrint 2025/1223	01_direct_pcg_pcf/21_CRYPTO_2025_Efficient_PCGs_over_ZpkZ.pdf	PCGs over Galois rings, including Z_{2^k}.	
22	direct	ASIACRYPT	2025	Pseudorandom Correlation Functions from Ring-LWR	Sebastian Hasler; Pascal Reisert; Ralf Kusters	ePrint 2025/1637	01_direct_pcg_pcf/22_ASIACRYPT_2025_PCFs_from_Ring-LWR.pdf	Ring-LWR PCF route.	https://publ.sec.uni-stuttgart.de/haslerreisertkuesters-iacr-2025-1637.pdf
23	direct	ASIACRYPT	2025	Fast Pseudorandom Correlation Functions from Sparse LPN	Lennart Braun; Geoffroy Couteau; Kelsey Melissaris; Mahshid Riahinia; Elahe Sadeghi	ePrint 2025/1644	01_direct_pcg_pcf/23_ASIACRYPT_2025_Fast_PCFs_from_Sparse_LPN.pdf	Fast OT/VOLE PCFs from sparse LPN.	
24	direct	ASIACRYPT	2025	Pseudorandom Correlation Generators for Multiparty Beaver Triples over F2	Peihan Miao; Alice Murphy; Akshayaram Srinivasan; Max Tromanhauser	ePrint 2025/1182	01_direct_pcg_pcf/24_ASIACRYPT_2025_PCGs_for_Multiparty_Beaver_Triples_over_F2.pdf	Multiparty Beaver triples over F2.	
25	direct	CRYPTO	2026	Faster Pseudorandom Correlation Generators via Walsh-Hadamard Transform	Zhe Li; Hongqing Liu; Chaoping Xing; Yizhou Yao; Chen Yuan	ePrint 2026/196	01_direct_pcg_pcf/25_CRYPTO_2026_Faster_PCGs_via_Walsh-Hadamard_Transform.pdf	WHT-based OLE/vector-OLE PCGs over large prime fields.	
26	direct	CRYPTO	2026	Post-Quantum Public-Key Pseudorandom Correlation Functions for OT	Shweta Agrawal; Kaartik Bhushan; Geoffroy Couteau; Mahshid Riahinia	ePrint 2026/877	01_direct_pcg_pcf/26_CRYPTO_2026_Post-Quantum_Public-Key_PCFs_for_OT.pdf	Lattice-based post-quantum public-key PCF for string OT.	
27	direct	CRYPTO	2026	Dishonest-Majority Secure Computation via PIR-Authenticated Multiplication Triples	Elette Boyle; Niv Gilboa; Matan Hamilis; Yuval Ishai; Ariel Nof	ePrint 2026/257	01_direct_pcg_pcf/27_CRYPTO_2026_Dishonest-Majority_Secure_Computation_via_PIR-Authenticated_Multiplication_Triples.pdf	Public version of the work previously listed as Fast PCGs for Batch-Authenticated Multiplication Triples.	
28	direct	CRYPTO	2026	Succinct Two-Round Two-Party Signing from PCFs	Lennart Braun; Geoffroy Couteau; Kelsey Melissaris; Mahshid Riahinia; Elahe Sadeghi	No public full text located as of 2026-07-30	04_unavailable_fulltext/28_CRYPTO_2026_Succinct_Two-Round_Two-Party_Signing_from_PCFs_NOT_PUBLIC.txt	Accepted at CRYPTO 2026; author pages still did not expose a public manuscript on 2026-07-30.	https://geoffroycouteau.github.io/;;https://mahshidriahinia.github.io/
S1	security	ASIACRYPT	2018	On the Concrete Security of Goldreich's Pseudorandom Generator	Geoffroy Couteau; Aurelien Dupin; Pierrick Meaux; Melissa Rossi; Yann Rotella	ePrint 2018/1162	02_security_and_cryptanalysis/S1_ASIACRYPT_2018_Concrete_Security_of_Goldreich_PRG.pdf	Concrete-security basis for low-locality PRG instances.	
